Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
L,19.92,11.9185,0.157961,4.51232, ,0.244935,0.236521,0.661869,0.865136,20.2608,11.8275,0.220439,4.83027
R,19.9817,12.3156,0.45647,4.60587,0.555339,0.245382,0.23662,0.659596,0.861174,20.2687,12.0692,0.093487,4.83159
L,19.9817,12.3156,0.45647,4.60587, ,0.245836,0.235469,0.658162,0.857268,20.2701,12.3108,-0.0338694,4.82968
R,20.0177,12.6626,0.0822451,4.17167,0.567848,0.245853,0.234584,0.655426,0.855534,20.2652,12.5522,-0.161529,4.82451
L,20.0177,12.6626,0.0822451,4.17167, ,0.245763,0.233812,0.653305,0.85377,20.254,12.7933,-0.28939,4.81605
R,20.1938,12.854,0.264218,3.78156,0.578579,0.244636,0.233362,0.653577,0.85552,20.2363,13.0339,-0.417348,4.80428
L,20.1938,12.854,0.264218,3.78156, ,0.243497,0.235788,0.655207,0.857066,20.2122,13.2738,-0.545298,4.78918
R,20.1432,13.3085,0.0844411,3.84679,0.579463,0.242395,0.235517,0.656228,0.857709,20.1818,13.5129,-0.673135,4.77072
L,20.1432,13.3085,0.0844411,3.84679, ,0.241281,0.238233,0.65869,0.858127,20.1449,13.7509,-0.800753,4.74892
R,20.1736,13.6212,-0.0826373,3.58552,0.596837,0.240279,0.23971,0.660625,0.861084,20.1017,13.9878,-0.928043,4.72374
L,20.1736,13.6212,-0.0826373,3.58552, ,0.239473,0.245376,0.664086,0.863643,20.0521,14.2233,-1.0549,4.69521
R,20.0571,14.0838,-0.343585,3.65569,0.606186,0.238471,0.246815,0.665836,0.865034,19.9962,14.4573,-1.18121,4.66331
L,20.0571,14.0838,-0.343585,3.65569, ,0.237696,0.252243,0.669048,0.866043,19.934,14.6897,-1.30687,4.62805
R,20.0629,14.3512,-0.327479,3.47874,0.625108,0.237372,0.256725,0.674089,0.868488,19.8655,14.9202,-1.43177,4.58944
L,20.0629,14.3512,-0.327479,3.47874, ,0.237696,0.266203,0.680856,0.870429,19.7908,15.1486,-1.55581,4.54751
R,19.9427,14.7449,-1.01852,3.07933,0.633084,0.237655,0.271431,0.680682,0.876681,19.7099,15.3749,-1.67887,4.50226
L,19.9427,14.7449,-1.01852,3.07933, ,0.238477,0.281562,0.681615,0.882125,19.6229,15.5989,-1.80085,4.45372
R,19.8553,15.0576,-0.96688,3.11333,0.649033,0.239348,0.289024,0.684388,0.886353,19.5298,15.8203,-1.92164,4.40193
L,19.8553,15.0576,-0.96688,3.11333, ,0.241498,0.301541,0.688584,0.889836,19.4307,16.039,-2.04114,4.3469
R,19.6261,15.5341,-1.14246,3.36053,0.661078,0.242048,0.307408,0.691963,0.890162,19.3257,16.2549,-2.15925,4.28868
L,19.6261,15.5341,-1.14246,3.36053, ,0.243929,0.317687,0.696758,0.889971,19.2148,16.4679,-2.27586,4.22731
R,19.4549,15.92,-1.4375,3.23061,0.682833,0.245066,0.323733,0.699244,0.890326,19.0981,16.6777,-2.39087,4.16284
L,19.4549,15.92,-1.4375,3.23061, ,0.247863,0.333928,0.703006,0.89012,18.9757,16.8841,-2.50418,4.0953
R,19.1174,16.4698,-2.16801,3.11313,0.699317,0.248046,0.337167,0.701319,0.890296,18.8477,17.0872,-2.61571,4.02476
L,19.1174,16.4698,-2.16801,3.11313, ,0.24967,0.343669,0.700285,0.889891,18.7142,17.2866,-2.72534,3.95127
R,18.8747,16.8819,-1.99261,3.481,0.726071,0.250104,0.346455,0.701507,0.887047,18.5752,17.4822,-2.83299,3.87489
L,18.8747,16.8819,-1.99261,3.481, ,0.25221,0.352173,0.703763,0.883989,18.4309,17.674,-2.93858,3.79568
