Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
L,20.2382,14.3217,-0.547222,4.85429, ,0.192891,0.144587,1.00917,0.395593
R,20.2382,14.3217,-0.547222,4.85429,14.308292,0.193385,0.144509,1.00644,0.394236
L,19.9954,14.7912,-1.13479,4.80437, ,0.192615,0.144185,1.00211,0.392838
R,19.9954,14.7912,-1.13479,4.80437,14.807155,0.192153,0.144058,0.998092,0.391629
L,19.9468,15.2406,-0.932005,4.70758, ,0.191869,0.143687,0.995444,0.390208
R,19.9468,15.2406,-0.932005,4.70758,15.271612,0.192303,0.143608,0.993567,0.38899
L,19.8814,15.6379,-0.845211,4.47791, ,0.192965,0.143039,0.993249,0.387331
R,19.8814,15.6379,-0.845211,4.47791,15.711380,0.194853,0.143418,0.993983,0.385749
L,19.6464,16.0502,-1.31531,4.36723, ,0.195038,0.142818,0.992032,0.38413
R,19.6464,16.0502,-1.31531,4.36723,16.085642,0.196417,0.143444,0.990889,0.382593
L,19.3855,16.3864,-1.7194,4.05328, ,0.196218,0.143042,0.988082,0.381337
R,19.3855,16.3864,-1.7194,4.05328,16.486932,0.197137,0.144875,0.9859,0.3799
L,19.1151,16.8137,-2.02682,4.12188, ,0.196736,0.144424,0.982827,0.37836
R,19.1151,16.8137,-2.02682,4.12188,16.791747,0.197407,0.145922,0.980284,0.376933
L,18.7733,17.2994,-2.46132,4.35142, ,0.196687,0.145341,0.97664,0.377124
R,18.7733,17.2994,-2.46132,4.35142,17.225896,0.196698,0.145677,0.97332,0.378016
L,18.3286,17.6497,-3.0816,4.08636, ,0.196133,0.145118,0.969564,0.377407
R,18.3286,17.6497,-3.0816,4.08636,17.734527,0.19541,0.145761,0.965775,0.37737
L,18.1087,18.0526,-2.80583,4.06852, ,0.194657,0.145196,0.962483,0.377891
R,18.1087,18.0526,-2.80583,4.06852,18.058303,0.194304,0.145421,0.959537,0.379259
L,17.8626,18.3467,-2.69842,3.71647, ,0.193632,0.144938,0.957502,0.378514
R,17.8626,18.3467,-2.69842,3.71647,18.459442,0.193926,0.145687,0.956006,0.378354
L,17.4954,18.7116,-3.00234,3.69535, ,0.193221,0.145152,0.953478,0.378771
R,17.4954,18.7116,-3.00234,3.69535,18.718378,0.193387,0.145486,0.951376,0.380093
L,17.1863,18.9901,-3.03003,3.41098, ,0.192818,0.145044,0.949592,0.379825
R,17.1863,18.9901,-3.03003,3.41098,19.081152,0.193551,0.145658,0.94829,0.380329
L,16.7385,19.2007,-3.48238,3.00337, ,0.192849,0.145676,0.945382,0.379124
R,16.7385,19.2007,-3.48238,3.00337,19.331209,0.193006,0.147213,0.942757,0.378318
L,16.3171,19.5553,-3.7107,3.1727, ,0.192312,0.1468,0.939715,0.37953
R,16.3171,19.5553,-3.7107,3.1727,19.501045,0.19232,0.147241,0.936894,0.381891
L,15.9359,19.8715,-3.74254,3.16943, ,0.191643,0.146719,0.934214,0.385551
R,15.9359,19.8715,-3.74254,3.16943,19.872527,0.19192,0.146586,0.931788,0.390726
L,15.5016,20.1862,-3.93002,3.16239, ,0.191249,0.146207,0.928997,0.397452
R,15.5016,20.1862,-3.93002,3.16239,20.188426,0.191477,0.145724,0.926409,0.405962
L,15.1521,20.4726,-3.79422,3.06915, ,0.190964,0.14577,0.924583,0.414591
R,15.1521,20.4726,-3.79422,3.06915,20.502409,0.192054,0.145345,0.923028,0.425101
L,14.723,20.6997,-3.94919,2.82003, ,0.191603,0.145725,0.921023,0.43287
R,14.723,20.6997,-3.94919,2.82003,20.779471,0.19291,0.14551,0.91924,0.442469
L,14.1991,20.7998,-4.35212,2.2517, ,0.192287,0.145418,0.916367,0.445213
R,14.1991,20.7998,-4.35212,2.2517,20.981720,0.192897,0.145012,0.913601,0.449348
L,13.6259,20.8849,-4.78311,1.81437, ,0.192346,0.14467,0.910615,0.450101
R,13.6259,20.8849,-4.78311,1.81437,21.024936,0.192166,0.144201,0.907635,0.451925
L,13.1287,20.9556,-4.84206,1.46849, ,0.191702,0.143756,0.904702,0.451904
R,13.1287,20.9556,-4.84206,1.46849,21.066359,0.191408,0.143293,0.90178,0.452777
L,12.7513,21.0822,-4.50871,1.40528, ,0.190789,0.142945,0.899154,0.45414
R,12.7513,21.0822,-4.50871,1.40528,21.102470,0.191151,0.142515,0.8966,0.45667
L,12.2564,21.1701,-4.6462,1.24068, ,0.190544,0.142258,0.893864,0.458724
R,12.2564,21.1701,-4.6462,1.24068,21.222763,0.19081,0.141918,0.891175,0.462035
L,11.7402,21.0936,-4.80724,0.614444, ,0.190242,0.141483,0.888378,0.461312
R,11.7402,21.0936,-4.80724,0.614444,21.294134,0.190294,0.141067,0.885611,0.461237
L,11.3078,21.1148,-4.65613,0.488569, ,0.189704,0.140635,0.883027,0.461134
R,11.3078,21.1148,-4.65613,0.488569,21.155084,0.190163,0.140208,0.880472,0.461848
L,10.8647,21.053,-4.58602,0.143075, ,0.189626,0.139894,0.878071,0.461198
R,10.8647,21.053,-4.58602,0.143075,21.163641,0.190475,0.139545,0.875687,0.461185
L,10.3046,21.1335,-4.90293,0.3498, ,0.189902,0.139155,0.873032,0.463823
R,10.3046,21.1335,-4.90293,0.3498,21.067336,0.190133,0.138824,0.870404,0.467697
L,9.89939,21.0803,-4.63725,0.0741656, ,0.189626,0.138444,0.867958,0.46983
R,9.89939,21.0803,-4.63725,0.0741656,21.168501,0.190521,0.138161,0.865516,0.473099
L,9.48405,20.9888,-4.48611,-0.234517, ,0.190225,0.137769,0.86335,0.474466
R,9.48405,20.9888,-4.48611,-0.234517,21.087671,0.191802,0.137486,0.861164,0.476828
L,8.88023,20.8984,-4.97091,-0.443708, ,0.191242,0.137116,0.858755,0.478286
R,8.88023,20.8984,-4.97091,-0.443708,20.965393,0.191613,0.136922,0.856397,0.480717
L,8.30819,20.6811,-5.205,-0.984039, ,0.191174,0.136589,0.854647,0.480119
R,8.30819,20.6811,-5.205,-0.984039,20.854048,0.190958,0.1362,0.853,0.480069
L,7.83363,20.5207,-5.06152,-1.17769, ,0.190535,0.135913,0.851037,0.479578
R,7.83363,20.5207,-5.06152,-1.17769,20.582654,0.190297,0.135529,0.849174,0.479639
L,7.25869,20.3978,-5.27636,-1.19361, ,0.190357,0.135159,0.848209,0.480252
R,7.25869,20.3978,-5.27636,-1.19361,20.402887,0.189834,0.134868,0.847411,0.481608
L,6.77048,20.2352,-5.15321,-1.32866, ,0.190087,0.134491,0.846253,0.482682
R,6.77048,20.2352,-5.15321,-1.32866,20.278429,0.189558,0.134323,0.845266,0.484531
L,6.31777,20.0609,-4.95764,-1.4581, ,0.189824,0.133972,0.843713,0.486086
R,6.31777,20.0609,-4.95764,-1.4581,20.102326,0.189304,0.134021,0.842314,0.488436
L,5.84032,19.8756,-4.90046,-1.5814, ,0.189822,0.133763,0.840882,0.490487
R,5.84032,19.8756,-4.90046,-1.5814,19.915076,0.189341,0.134157,0.839621,0.493343
L,5.50945,19.6511,-4.40326,-1.7886, ,0.189219,0.13397,0.837389,0.495115
R,5.50945,19.6511,-4.40326,-1.7886,19.717458,0.188743,0.134604,0.835217,0.497621
L,5.11637,19.457,-4.25571,-1.83616, ,0.188493,0.134766,0.832993,0.500443
R,5.11637,19.457,-4.25571,-1.83616,19.472261,0.188069,0.136177,0.830813,0.504043
L,4.78459,19.1372,-3.96275,-2.26153, ,0.187609,0.136107,0.828668,0.504736
R,4.78459,19.1372,-3.96275,-2.26153,19.273419,0.187437,0.137137,0.826505,0.505976
L,4.42579,18.875,-3.84571,-2.3741, ,0.186947,0.137244,0.824404,0.50696
R,4.42579,18.875,-3.84571,-2.3741,18.911082,0.186971,0.138705,0.822281,0.508487
L,4.14472,18.5644,-3.52242,-2.60279, ,0.186642,0.138808,0.820558,0.508948
R,4.14472,18.5644,-3.52242,-2.60279,18.637630,0.187391,0.140328,0.818736,0.509866
L,3.63672,18.24,-4.00892,-2.80299, ,0.186915,0.140432,0.816808,0.509994
R,3.63672,18.24,-4.00892,-2.80299,18.304135,0.186823,0.142018,0.814986,0.510513
L,3.18415,17.8614,-4.17033,-3.11013, ,0.186485,0.14192,0.813721,0.509873
R,3.18415,17.8614,-4.17033,-3.11013,17.959740,0.186103,0.143119,0.812654,0.509494
L,2.8502,17.6742,-3.91082,-2.72335, ,0.185709,0.144207,0.811013,0.512012
R,2.8502,17.6742,-3.91082,-2.72335,17.550397,0.185385,0.147622,0.809521,0.515034
L,2.50349,17.254,-3.77222,-3.18543, ,0.184992,0.148172,0.807851,0.515146
R,2.50349,17.254,-3.77222,-3.18543,17.401892,0.184665,0.150743,0.80632,0.51557
L,2.18582,16.8878,-3.58621,-3.33427, ,0.184244,0.151351,0.804541,0.515503
R,2.18582,16.8878,-3.58621,-3.33427,16.935410,0.183964,0.154064,0.802876,0.515707
L,1.85642,16.3445,-3.49496,-3.98958, ,0.183553,0.153818,0.801159,0.514459
R,1.85642,16.3445,-3.49496,-3.98958,16.554330,0.183254,0.154758,0.79956,0.513209
L,1.47913,16.0109,-3.58176,-3.78559, ,0.182987,0.154764,0.798325,0.512276
R,1.47913,16.0109,-3.58176,-3.78559,15.945569,0.182566,0.156387,0.797268,0.511474
L,1.15039,15.537,-3.48981,-4.08325, ,0.182385,0.156139,0.796103,0.510261
R,1.15039,15.537,-3.48981,-4.08325,15.632319,0.181952,0.157122,0.795117,0.509086
L,0.764631,15.0721,-3.6047,-4.26013, ,0.18222,0.156778,0.794776,0.507886
R,0.764631,15.0721,-3.6047,-4.26013,15.128697,0.181893,0.157386,0.794671,0.506686
L,0.559846,14.6735,-3.11842,-4.1745, ,0.18177,0.157091,0.793142,0.505567
R,0.559846,14.6735,-3.11842,-4.1745,14.646054,0.181348,0.15794,0.791733,0.504505
L,0.250542,14.2312,-3.11049,-4.25211, ,0.181389,0.157629,0.790437,0.503397
R,0.250542,14.2312,-3.11049,-4.25211,14.256020,0.18101,0.158421,0.789283,0.50234
L,0.182354,13.7497,-2.35192,-4.42786, ,0.180593,0.158062,0.787616,0.501181
R,0.182354,13.7497,-2.35192,-4.42786,13.805961,0.180402,0.158556,0.785904,0.500039
L,-0.117099,13.2969,-2.55264,-4.45902, ,0.180011,0.158197,0.78412,0.498904
R,-0.117099,13.2969,-2.55264,-4.45902,13.306909,0.179686,0.158667,0.782372,0.497792
L,-0.176742,12.888,-1.94162,-4.34359, ,0.179538,0.158356,0.781201,0.496872
R,-0.176742,12.888,-1.94162,-4.34359,12.851030,0.179994,0.159168,0.779931,0.496012
L,-0.420244,12.4114,-2.09573,-4.47542, ,0.179817,0.158833,0.778316,0.494979
R,-0.420244,12.4114,-2.09573,-4.47542,12.453627,0.180188,0.159509,0.776665,0.493983
L,-0.607762,11.9988,-2.02685,-4.36638, ,0.180164,0.159269,0.775057,0.493259
R,-0.607762,11.9988,-2.02685,-4.36638,11.963877,0.180763,0.160368,0.773419,0.492597
L,-0.979465,11.4858,-2.55477,-4.60488, ,0.18037,0.160042,0.772168,0.491548
R,-0.979465,11.4858,-2.55477,-4.60488,11.562150,0.180177,0.160765,0.77101,0.490524
L,-1.30875,11.0333,-2.78532,-4.57994, ,0.179893,0.160469,0.770712,0.489557
R,-1.30875,11.0333,-2.78532,-4.57994,11.025305,0.179502,0.161344,0.770551,0.488621
L,-1.54503,10.5026,-2.65334,-4.80689, ,0.179306,0.160995,0.770005,0.487569
R,-1.54503,10.5026,-2.65334,-4.80689,10.575295,0.178927,0.161463,0.769574,0.48652
L,-1.72082,10.1226,-2.37364,-4.49245, ,0.17867,0.161266,0.768394,0.485883
R,-1.72082,10.1226,-2.37364,-4.49245,10.021949,0.178288,0.162505,0.767286,0.485286
L,-1.85333,9.69211,-2.04613,-4.43392, ,0.177929,0.16248,0.765704,0.484913
R,-1.85333,9.69211,-2.04613,-4.43392,9.673371,0.177585,0.16419,0.764152,0.484581
L,-2.00204,9.02513,-1.87153,-5.13228, ,0.17721,0.163853,0.762538,0.483921
R,-2.00204,9.02513,-1.87153,-5.13228,9.248719,0.176935,0.164101,0.760937,0.483242
L,-2.1834,8.52555,-1.85344,-5.08967, ,0.176564,0.16378,0.759346,0.482454
R,-2.1834,8.52555,-1.85344,-5.08967,8.511905,0.176295,0.163956,0.757769,0.481655
L,-2.29865,8.08052,-1.6345,-4.88997, ,0.17598,0.163615,0.75626,0.480656
R,-2.29865,8.08052,-1.6345,-4.88997,8.016579,0.175897,0.164031,0.754748,0.479662
L,-2.52502,7.59683,-1.83103,-4.87338, ,0.175538,0.163693,0.753207,0.478675
R,-2.52502,7.59683,-1.83103,-4.87338,7.591520,0.175306,0.164137,0.751681,0.477695
L,-2.75043,7.08823,-1.96317,-4.93978, ,0.174961,0.163804,0.750284,0.476726
R,-2.75043,7.08823,-1.96317,-4.93978,7.109491,0.174638,0.164132,0.748905,0.475762
L,-2.85317,6.7225,-1.67088,-4.53922, ,0.174299,0.16395,0.747395,0.47537
R,-2.85317,6.7225,-1.67088,-4.53922,6.594256,0.174121,0.165171,0.745893,0.474987
L,-2.96507,6.25049,-1.4985,-4.5957, ,0.173878,0.165042,0.744519,0.474449
R,-2.96507,6.25049,-1.4985,-4.5957,6.268574,0.173911,0.166406,0.743152,0.473915
L,-3.14431,5.66946,-1.5903,-4.97509, ,0.173654,0.166093,0.741711,0.472988
R,-3.14431,5.66946,-1.5903,-4.97509,5.790924,0.173656,0.166729,0.740279,0.472067
L,-3.36268,5.1407,-1.77563,-5.07271, ,0.173332,0.166399,0.738824,0.471248
R,-3.36268,5.1407,-1.77563,-5.07271,5.171952,0.173176,0.16679,0.737375,0.470437
L,-3.61226,4.58134,-2.00059,-5.23541, ,0.172851,0.166516,0.736124,0.469976
R,-3.61226,4.58134,-2.00059,-5.23541,4.633425,0.172542,0.16656,0.734869,0.46953
L,-3.90114,4.05267,-2.27802,-5.25141, ,0.172463,0.166368,0.734184,0.469144
R,-3.90114,4.05267,-2.27802,-5.25141,4.057795,0.172173,0.166268,0.733472,0.468777
L,-4.01285,3.63233,-1.91542,-4.92409, ,0.171924,0.165964,0.732109,0.467878
R,-4.01285,3.63233,-1.91542,-4.92409,3.527533,0.171593,0.166137,0.730743,0.466987
L,-4.17953,3.17719,-1.83776,-4.80766, ,0.171326,0.165819,0.729345,0.466107
R,-4.17953,3.17719,-1.83776,-4.80766,3.139916,0.171002,0.166154,0.727952,0.465228
L,-4.34518,2.62816,-1.78112,-5.0209, ,0.170714,0.165891,0.726576,0.46446
R,-4.34518,2.62816,-1.78112,-5.0209,2.696427,0.170404,0.165923,0.725216,0.46371
L,-4.56485,2.11011,-1.91095,-5.07075, ,0.170174,0.165728,0.723848,0.463067
R,-4.56485,2.11011,-1.91095,-5.07075,2.126066,0.169854,0.165637,0.722486,0.462452
L,-4.80845,1.57097,-2.07493,-5.1709, ,0.169765,0.165613,0.721183,0.46212
R,-4.80845,1.57097,-2.07493,-5.1709,1.603032,0.169472,0.165378,0.71987,0.461831
L,-4.85324,1.16255,-1.56674,-4.83145, ,0.169157,0.165157,0.718994,0.460982
R,-4.85324,1.16255,-1.56674,-4.83145,1.053876,0.168971,0.165106,0.718192,0.460146
L,-4.93751,0.747757,-1.34058,-4.61797, ,0.16883,0.164809,0.718166,0.459365
R,-4.93751,0.747757,-1.34058,-4.61797,0.679408,0.169089,0.165002,0.718263,0.458571
L,-5.09565,0.272571,-1.4158,-4.65979, ,0.169114,0.164708,0.718209,0.457742
R,-5.09565,0.272571,-1.4158,-4.65979,0.285960,0.169666,0.164882,0.718286,0.45691
L,-5.26643,-0.202555,-1.50702,-4.68836, ,0.169878,0.164595,0.718167,0.45608
R,-5.26643,-0.202555,-1.50702,-4.68836,-0.193407,0.170737,0.164734,0.718185,0.455258
L,-5.6211,-0.565966,-2.1441,-4.35907, ,0.170512,0.164488,0.716927,0.454725
R,-5.6211,-0.565966,-2.1441,-4.35907,-0.671391,0.170642,0.165168,0.715706,0.454147
L,-5.85553,-1.12654,-2.20664,-4.74845, ,0.170413,0.164883,0.714476,0.453444
R,-5.85553,-1.12654,-2.20664,-4.74845,-1.001873,0.170546,0.165007,0.713288,0.452783
L,-6.168,-1.55839,-2.49338,-4.61416, ,0.170244,0.164714,0.712025,0.452006
R,-6.168,-1.55839,-2.49338,-4.61416,-1.601381,0.170135,0.164931,0.710762,0.451258
L,-6.38123,-2.0745,-2.38059,-4.78501, ,0.169859,0.164699,0.709562,0.450855
R,-6.38123,-2.0745,-2.38059,-4.78501,-2.019802,0.169881,0.164644,0.70841,0.450537
L,-6.70041,-2.5029,-2.63398,-4.62852, ,0.169585,0.164392,0.707166,0.449945
R,-6.70041,-2.5029,-2.63398,-4.62852,-2.553001,0.169436,0.164378,0.705933,0.449421
L,-6.8874,-3.02889,-2.39531,-4.82574, ,0.169188,0.164324,0.704975,0.44958
R,-6.8874,-3.02889,-2.39531,-4.82574,-2.965754,0.169329,0.164087,0.704112,0.449886
L,-7.12424,-3.39598,-2.38692,-4.46501, ,0.169158,0.16388,0.703376,0.449275
R,-7.12424,-3.39598,-2.38692,-4.46501,-3.511468,0.169514,0.163766,0.702765,0.448738
L,-7.42236,-3.67813,-2.57253,-3.95169, ,0.169323,0.163515,0.70188,0.448156
R,-7.42236,-3.67813,-2.57253,-3.95169,-3.842477,0.169653,0.163952,0.701102,0.44751
L,-7.77349,-4.17823,-2.86575,-4.27942, ,0.169386,0.163683,0.699982,0.44689
R,-7.77349,-4.17823,-2.86575,-4.27942,-4.073303,0.169503,0.163706,0.698922,0.446352
