Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
R,-3.19452,6.02763,-1.71259,-4.84584,2.033971,0.268138,0.325918,0.662232,0.669685
L,-3.19452,6.02763,-1.71259,-4.84584, ,0.267614,0.326233,0.660912,0.668362
R,-3.3804,5.50986,-1.84676,-4.78023,2.116498,0.267111,0.32568,0.659652,0.667084
L,-3.3804,5.50986,-1.84676,-4.78023, ,0.266587,0.325869,0.658397,0.665812
R,-3.51212,5.02764,-1.61649,-4.8746,2.187207,0.266065,0.325334,0.657133,0.664503
L,-3.51212,5.02764,-1.61649,-4.8746, ,0.265573,0.32556,0.655882,0.663201
R,-3.71443,4.49019,-1.88181,-4.83744,2.251103,0.265073,0.324969,0.654661,0.661915
L,-3.71443,4.49019,-1.88181,-4.83744, ,0.264567,0.324992,0.65344,0.660636
R,-3.9098,4.00132,-1.78627,-4.95747,2.343067,0.264091,0.324407,0.652175,0.659368
L,-3.9098,4.00132,-1.78627,-4.95747, ,0.263583,0.324433,0.650915,0.65811
R,-4.0834,3.59772,-1.8754,-4.65124,2.432797,0.263109,0.323984,0.649685,0.656992
L,-4.0834,3.59772,-1.8754,-4.65124, ,0.262608,0.324382,0.648455,0.655871
R,-4.32691,3.04647,-2.10141,-4.86802,2.508757,0.262232,0.32383,0.647448,0.654618
L,-4.32691,3.04647,-2.10141,-4.86802, ,0.261744,0.323934,0.646416,0.653373
R,-4.51917,2.52312,-1.98211,-4.98464,2.627935,0.261389,0.323348,0.645233,0.652194
L,-4.51917,2.52312,-1.98211,-4.98464, ,0.26091,0.323303,0.644042,0.65103
R,-4.70463,2.03729,-2.24243,-4.83013,2.736178,0.260553,0.322721,0.643157,0.649805
L,-4.70463,2.03729,-2.24243,-4.83013, ,0.260077,0.322664,0.642228,0.648589
R,-4.95635,1.49745,-2.37015,-5.00196,2.836121,0.259863,0.322062,0.641515,0.647502
L,-4.95635,1.49745,-2.37015,-5.00196, ,0.259445,0.321815,0.640741,0.646439
R,-5.1482,1.06583,-2.17278,-4.77329,2.951878,0.259215,0.321236,0.63962,0.645241
L,-5.1482,1.06583,-2.17278,-4.77329, ,0.258788,0.321132,0.638481,0.644051
R,-5.33206,0.41153,-2.14902,-5.27816,3.032347,0.258507,0.320631,0.637319,0.643721
L,-5.33206,0.41153,-2.14902,-5.27816, ,0.25806,0.320114,0.636153,0.643451
R,-5.55564,-0.15866,-1.84909,-5.39444,-3.120632,0.257811,0.319816,0.635259,0.643669
L,-5.55564,-0.15866,-1.84909,-5.39444, ,0.257376,0.319235,0.63444,0.643967
R,-5.7646,-0.478476,-2.06978,-4.75336,-3.020577,0.257106,0.318689,0.633363,0.642829
L,-5.7646,-0.478476,-2.06978,-4.75336, ,0.256662,0.318251,0.632333,0.641711
