L, -2.53031, 7.62253, -1.77434, -4.86813,  , 0.101414, 0.0857034, 0.580247, 0.451705
R, -2.69591, 7.37982, -2.03357, -4.77771, 1.911851, 0.101295, 0.0855531, 0.579346, 0.450841
L, -2.80264, 7.12659, -2.05018, -4.80789,  , 0.101238, 0.0853923, 0.578506, 0.449958
R, -2.85877, 6.89363, -1.8573, -4.91011, 1.970022, 0.101094, 0.0852499, 0.577387, 0.449042
L, -2.87545, 6.70383, -1.63862, -4.75712,  , 0.100893, 0.085277, 0.576242, 0.448232
R, -2.91423, 6.4941, -1.56688, -4.56802, 1.999767, 0.100764, 0.0854879, 0.575159, 0.447847
L, -2.96877, 6.26481, -1.50289, -4.55565,  , 0.100733, 0.0857987, 0.57416, 0.447508
R, -3.10022, 6.005, -1.61771, -4.74212, 2.037805, 0.100575, 0.0860152, 0.573042, 0.446738
L, -3.19659, 5.72047, -1.6726, -4.84887,  , 0.1004, 0.0860316, 0.571905, 0.445864
R, -3.3037, 5.4697, -1.80374, -4.77957, 2.110330, 0.100205, 0.0860265, 0.570797, 0.445053
L, -3.41224, 5.20207, -1.86097, -4.85347,  , 0.100008, 0.0859463, 0.569738, 0.444186
